accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,ticker,report_url
0000101778-24-000023,2024-02-22,2023-12-31,2024-02-22T16:33:31.000Z,34,10-K,001-05153,24665402,,37363485,1,1,mro-20231231.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177824000023/mro-20231231.htm
0000101778-23-000146,2023-11-02,2023-09-30,2023-11-02T16:21:32.000Z,34,10-Q,001-05153,231372683,,11308006,1,1,mro-20230930.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177823000146/mro-20230930.htm
0000101778-23-000107,2023-08-03,2023-06-30,2023-08-03T16:08:15.000Z,34,10-Q,001-05153,231139959,,10194187,1,1,mro-20230630.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177823000107/mro-20230630.htm
0000101778-23-000096,2023-05-04,2023-03-31,2023-05-04T16:04:44.000Z,34,10-Q,001-05153,23888556,,9078026,1,1,mro-20230331.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177823000096/mro-20230331.htm
0000101778-23-000030,2023-02-16,2022-12-31,2023-02-16T16:12:52.000Z,34,10-K,001-05153,23638645,,22321967,1,1,mro-20221231.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177823000030/mro-20221231.htm
0000101778-22-000192,2022-11-03,2022-09-30,2022-11-03T16:08:54.000Z,34,10-Q,001-05153,221358024,,12140007,1,1,mro-20220930.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177822000192/mro-20220930.htm
0000101778-22-000168,2022-08-04,2022-06-30,2022-08-04T16:03:38.000Z,34,10-Q,001-05153,221136416,,11700481,1,1,mro-20220630.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177822000168/mro-20220630.htm
0000101778-22-000118,2022-05-05,2022-03-31,2022-05-05T16:01:47.000Z,34,10-Q,001-05153,22896036,,9351443,1,1,mro-20220331.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177822000118/mro-20220331.htm
0000101778-22-000016,2022-02-17,2021-12-31,2022-02-17T16:18:00.000Z,34,10-K,001-05153,22648343,,22213129,1,1,mro-20211231.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177822000016/mro-20211231.htm
0000101778-21-000109,2021-11-04,2021-09-30,2021-11-04T16:09:16.000Z,34,10-Q,001-05153,211379988,,12946649,1,1,mro-20210930.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177821000109/mro-20210930.htm
0000101778-21-000099,2021-08-05,2021-06-30,2021-08-05T16:08:37.000Z,34,10-Q,001-05153,211148206,,11994535,1,1,mro-20210630.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177821000099/mro-20210630.htm
0000101778-21-000083,2021-05-06,2021-03-31,2021-05-06T16:08:51.000Z,34,10-Q,001-05153,21897789,,9558927,1,1,mro-20210331.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177821000083/mro-20210331.htm
0000101778-21-000018,2021-02-23,2020-12-31,2021-02-23T16:11:47.000Z,34,10-K,001-05153,21665481,,22475759,1,1,mro-20201231.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177821000018/mro-20201231.htm
0000101778-20-000111,2020-11-05,2020-09-30,2020-11-05T16:17:43.000Z,34,10-Q,001-05153,201290685,,12573385,1,1,mro-20200930.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177820000111/mro-20200930.htm
0000101778-20-000103,2020-08-06,2020-06-30,2020-08-06T16:02:12.000Z,34,10-Q,001-05153,201081461,,14784319,1,1,mro-20200630.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177820000103/mro-20200630.htm
0000101778-20-000081,2020-05-07,2020-03-31,2020-05-07T16:33:58.000Z,34,10-Q,001-05153,20857025,,12267790,1,1,mro-2020331x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177820000081/mro-2020331x10q.htm
0000101778-20-000023,2020-02-20,2019-12-31,2020-02-20T16:42:06.000Z,34,10-K,001-05153,20635815,,25021904,1,1,mro-20191231x10k2019.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177820000023/mro-20191231x10k2019.htm
0000101778-19-000113,2019-11-07,2019-09-30,2019-11-07T16:34:06.000Z,34,10-Q,001-05153,191200875,,13945437,1,1,mro-20190930x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177819000113/mro-20190930x10q.htm
0000101778-19-000093,2019-08-08,2019-06-30,2019-08-08T16:35:53.000Z,34,10-Q,001-05153,191010091,,13074002,1,1,mro-20190630x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177819000093/mro-20190630x10q.htm
0000101778-19-000070,2019-05-02,2019-03-31,2019-05-02T16:35:37.000Z,34,10-Q,001-05153,19792458,,10269322,1,1,mro-20190331x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177819000070/mro-20190331x10q.htm
0000101778-19-000022,2019-02-21,2018-12-31,2019-02-21T16:53:44.000Z,34,10-K,001-05153,19622591,,24005752,1,0,mro-20181231x10kq42018.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177819000022/mro-20181231x10kq42018.htm
0000101778-18-000118,2018-11-08,2018-09-30,2018-11-08T16:46:51.000Z,34,10-Q,001-05153,181170306,,11684256,1,0,mro-20180930x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177818000118/mro-20180930x10q.htm
0000101778-18-000107,2018-08-02,2018-06-30,2018-08-02T16:38:17.000Z,34,10-Q,001-05153,18988930,,10671213,1,0,mro-20180630x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177818000107/mro-20180630x10q.htm
0000101778-18-000091,2018-05-03,2018-03-31,2018-05-03T16:36:10.000Z,34,10-Q,001-05153,18804404,,8695951,1,0,mro-20180331x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177818000091/mro-20180331x10q.htm
0000101778-18-000026,2018-02-22,2017-12-31,2018-02-22T17:14:17.000Z,34,10-K,001-05153,18633513,,25307131,1,0,mro-20171231x10kq42017.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177818000026/mro-20171231x10kq42017.htm
0000101778-17-000121,2017-11-02,2017-09-30,2017-11-02T16:37:43.000Z,34,10-Q,001-05153,171172992,,11561529,1,0,mro-20170930x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177817000121/mro-20170930x10q.htm
0000101778-17-000108,2017-08-03,2017-06-30,2017-08-03T16:38:34.000Z,34,10-Q,001-05153,171005609,,10671171,1,0,mro-20170630x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177817000108/mro-20170630x10q.htm
0000101778-17-000078,2017-05-05,2017-03-31,2017-05-05T16:50:12.000Z,34,10-Q,001-05153,17819080,,9194115,1,0,mro-20170331x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177817000078/mro-20170331x10q.htm
0000101778-17-000046,2017-02-24,2016-12-31,2017-02-24T08:14:39.000Z,34,10-K,001-05153,17634809,,24568724,1,0,mro-20161231x10k.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177817000046/mro-20161231x10k.htm
0000101778-16-000103,2016-11-03,2016-09-30,2016-11-03T16:43:19.000Z,34,10-Q,001-05153,161972283,,9453487,1,0,mro-20160930x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177816000103/mro-20160930x10q.htm
0000101778-16-000079,2016-08-04,2016-06-30,2016-08-04T16:41:12.000Z,34,10-Q,001-05153,161808057,,8710701,1,0,mro-20160630x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177816000079/mro-20160630x10q.htm
0000101778-16-000067,2016-05-05,2016-03-31,2016-05-05T16:38:28.000Z,34,10-Q,001-05153,161624472,,6792250,1,0,mro-20160331x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177816000067/mro-20160331x10q.htm
0000101778-16-000047,2016-02-25,2015-12-31,2016-02-25T13:48:08.000Z,34,10-K,001-05153,161454981,,23129811,1,0,mro-20151231x10k.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177816000047/mro-20151231x10k.htm
0000101778-15-000038,2015-11-05,2015-09-30,2015-11-05T16:40:21.000Z,34,10-Q,001-05153,151201286,,9439617,1,0,mro-20150930x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177815000038/mro-20150930x10q.htm
0000101778-15-000026,2015-08-06,2015-06-30,2015-08-06T13:30:40.000Z,34,10-Q,001-05153,151032232,,9232276,1,0,mro-20150630x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177815000026/mro-20150630x10q.htm
0000101778-15-000016,2015-05-07,2015-03-31,2015-05-07T16:13:38.000Z,34,10-Q,001-05153,15841909,,8951545,1,0,mro-20150331x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177815000016/mro-20150331x10q.htm
0000101778-15-000007,2015-03-02,2014-12-31,2015-03-02T09:06:42.000Z,34,10-K,001-05153,15662504,,29319839,1,0,mro-20141231x10k.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177815000007/mro-20141231x10k.htm
0000101778-14-000078,2014-11-04,2014-09-30,2014-11-04T17:02:33.000Z,34,10-Q,001-05153,141194032,,12174135,1,0,mro-2014930x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177814000078/mro-2014930x10q.htm
0000101778-14-000054,2014-08-05,2014-06-30,2014-08-05T16:51:45.000Z,34,10-Q,001-05153,141016773,,12226562,1,0,mro-2014630x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177814000054/mro-2014630x10q.htm
0000101778-14-000026,2014-05-07,2014-03-31,2014-05-07T17:25:59.000Z,34,10-Q,001-05153,14822146,,9234823,1,0,mro-2014331x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177814000026/mro-2014331x10q.htm
0000101778-14-000014,2014-02-28,2013-12-31,2014-02-28T08:20:38.000Z,34,10-K,001-05153,14651557,,34500341,1,0,mro-20131231x10k.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177814000014/mro-20131231x10k.htm
0000101778-13-000049,2013-11-06,2013-09-30,2013-11-05T17:39:22.000Z,34,10-Q,001-05153,131193908,,11127685,1,0,mro-2013930x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177813000049/mro-2013930x10q.htm
0000101778-13-000034,2013-08-08,2013-06-30,2013-08-07T17:50:43.000Z,34,10-Q,001-05153,131019274,,13840860,1,0,mro-2013630x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177813000034/mro-2013630x10q.htm
0000101778-13-000019,2013-05-10,2013-03-31,2013-05-09T17:47:32.000Z,34,10-Q,001-05153,13830341,,8116903,1,0,mro-2013331x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177813000019/mro-2013331x10q.htm
0000101778-13-000006,2013-02-22,2012-12-31,2013-02-22T12:40:55.000Z,34,10-K,001-05153,13633345,,29479963,1,0,mro-20121231x10k.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177813000006/mro-20121231x10k.htm
0000101778-12-000029,2012-11-07,2012-09-30,2012-11-07T15:19:56.000Z,34,10-Q,001-05153,121186473,,11608313,1,0,mro-2012930x10q.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177812000029/mro-2012930x10q.htm
0000034088-20-000090,2020-11-04,2020-09-30,2020-11-04T13:00:19.000Z,34,10-Q,001-02256,201285998,,6415560,1,1,xom-20200930.htm,10-Q,XOM,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/34088/000003408820000090/xom-20200930.htm
0000093410-24-000013,2024-02-26,2023-12-31,2024-02-26T16:07:14.000Z,34,10-K,001-00368,24678720,,26497048,1,1,cvx-20231231.htm,10-K,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341024000013/cvx-20231231.htm
0000093410-23-000088,2023-11-02,2023-09-30,2023-11-02T11:16:26.000Z,34,10-Q,001-00368,231370731,,10275852,1,1,cvx-20230930.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341023000088/cvx-20230930.htm
0000093410-23-000079,2023-08-03,2023-06-30,2023-08-03T10:51:13.000Z,34,10-Q,001-00368,231138589,,8592297,1,1,cvx-20230630.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341023000079/cvx-20230630.htm
0000093410-23-000066,2023-05-04,2023-03-31,2023-05-04T11:29:30.000Z,34,10-Q,001-00368,23887162,,8153179,1,1,cvx-20230331.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341023000066/cvx-20230331.htm
0000093410-23-000009,2023-02-23,2022-12-31,2023-02-23T11:51:02.000Z,34,10-K,001-00368,23657837,,27668338,1,1,cvx-20221231.htm,10-K,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341023000009/cvx-20221231.htm
0000093410-22-000075,2022-11-03,2022-09-30,2022-11-03T11:42:38.000Z,34,10-Q,001-00368,221356923,,9890958,1,1,cvx-20220930.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341022000075/cvx-20220930.htm
0000093410-22-000066,2022-08-04,2022-06-30,2022-08-04T11:33:10.000Z,34,10-Q,001-00368,221135460,,9662372,1,1,cvx-20220630.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341022000066/cvx-20220630.htm
0000093410-22-000026,2022-05-04,2022-03-31,2022-05-04T12:16:42.000Z,34,10-Q,001-00368,22890630,,8212012,1,1,cvx-20220331.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341022000026/cvx-20220331.htm
0000093410-22-000019,2022-02-24,2021-12-31,2022-02-24T11:45:37.000Z,34,10-K,001-00368,22668315,,28652588,1,1,cvx-20211231.htm,10-K,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341022000019/cvx-20211231.htm
0000093410-21-000046,2021-11-04,2021-09-30,2021-11-04T13:11:52.000Z,34,10-Q,001-00368,211379163,,9565544,1,1,cvx-20210930.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341021000046/cvx-20210930.htm
0000093410-21-000036,2021-08-05,2021-06-30,2021-08-05T11:59:02.000Z,34,10-Q,001-00368,211147107,,9450208,1,1,cvx-20210630.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341021000036/cvx-20210630.htm
0000093410-21-000015,2021-05-06,2021-03-31,2021-05-06T11:37:40.000Z,34,10-Q,001-00368,21896617,,8190795,1,1,cvx-20210331.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341021000015/cvx-20210331.htm
0000093410-21-000009,2021-02-25,2020-12-31,2021-02-25T14:32:29.000Z,34,10-K,001-00368,21679450,,29919569,1,1,cvx-20201231.htm,10-K,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341021000009/cvx-20201231.htm
0000093410-20-000050,2020-11-05,2020-09-30,2020-11-05T14:29:24.000Z,34,10-Q,001-00368,201289877,,9865365,1,1,cvx-20200930.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341020000050/cvx-20200930.htm
0000093410-20-000039,2020-08-05,2020-06-30,2020-08-05T12:31:48.000Z,34,10-Q,001-00368,201076487,,11546925,1,1,cvx-20200630.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341020000039/cvx-20200630.htm
0000093410-20-000020,2020-05-06,2020-03-31,2020-05-06T13:56:34.000Z,34,10-Q,001-00368,20852144,,8447364,1,1,cvx03312020-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341020000020/cvx03312020-10qdoc.htm
0000093410-20-000010,2020-02-21,2019-12-31,2020-02-21T11:40:21.000Z,34,10-K,001-00368,20638157,,31415187,1,1,cvx12312019-10kdoc.htm,10-K,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341020000010/cvx12312019-10kdoc.htm
0000093410-19-000038,2019-11-07,2019-09-30,2019-11-07T11:28:38.000Z,34,10-Q,001-00368,191198807,,10701849,1,1,cvx09302019-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341019000038/cvx09302019-10qdoc.htm
0000093410-19-000029,2019-08-07,2019-06-30,2019-08-07T12:01:45.000Z,34,10-Q,001-00368,191004534,,10658216,1,1,cvx06302019-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341019000029/cvx06302019-10qdoc.htm
0000093410-19-000014,2019-05-02,2019-03-31,2019-05-02T11:33:10.000Z,34,10-Q,001-00368,19790510,,9183723,1,1,cvx03312019-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341019000014/cvx03312019-10qdoc.htm
0000093410-19-000008,2019-02-22,2018-12-31,2019-02-22T11:25:08.000Z,34,10-K,001-00368,19624520,,27942737,1,0,cvx12312018-10kdoc.htm,10-K,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341019000008/cvx12312018-10kdoc.htm
0000093410-18-000035,2018-11-08,2018-09-30,2018-11-08T11:41:58.000Z,34,10-Q,001-00368,181168812,,8274558,1,0,cvx09302018-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341018000035/cvx09302018-10qdoc.htm
0000093410-18-000029,2018-08-02,2018-06-30,2018-08-02T11:42:15.000Z,34,10-Q,001-00368,18987218,,8230186,1,0,cvx06302018-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341018000029/cvx06302018-10qdoc.htm
0000093410-18-000016,2018-05-03,2018-03-31,2018-05-03T11:45:56.000Z,34,10-Q,001-00368,18802535,,7166094,1,0,cvx03312018-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341018000016/cvx03312018-10qdoc.htm
0000093410-18-000010,2018-02-22,2017-12-31,2018-02-22T11:49:59.000Z,34,10-K,001-00368,18631598,,26865786,1,0,cvx12312017-10kdoc.htm,10-K,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341018000010/cvx12312017-10kdoc.htm
0000093410-17-000046,2017-11-02,2017-09-30,2017-11-02T12:02:04.000Z,34,10-Q,001-00368,171171358,,8025088,1,0,cvx09302017-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341017000046/cvx09302017-10qdoc.htm
0000093410-17-000033,2017-08-03,2017-06-30,2017-08-03T11:15:53.000Z,34,10-Q,001-00368,171003785,,7803433,1,0,cvx06302017-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341017000033/cvx06302017-10qdoc.htm
0000093410-17-000019,2017-05-04,2017-03-31,2017-05-04T11:42:11.000Z,34,10-Q,001-00368,17812608,,6948348,1,0,cvx03312017-10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341017000019/cvx03312017-10qdoc.htm
0000093410-17-000013,2017-02-23,2016-12-31,2017-02-23T12:18:42.000Z,34,10-K,001-00368,17631521,,28494560,1,0,cvx-123116x10kdoc.htm,10-K,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341017000013/cvx-123116x10kdoc.htm
0000093410-16-000083,2016-11-03,2016-09-30,2016-11-03T11:52:48.000Z,34,10-Q,001-00368,161970739,,8030638,1,0,cvx-09302016x10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341016000083/cvx-09302016x10qdoc.htm
0000093410-16-000070,2016-08-04,2016-06-30,2016-08-04T11:25:03.000Z,34,10-Q,001-00368,161806336,,8069126,1,0,cvx-06302016x10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341016000070/cvx-06302016x10qdoc.htm
0000093410-16-000056,2016-05-05,2016-03-31,2016-05-05T11:38:56.000Z,34,10-Q,001-00368,161622407,,6862626,1,0,cvx-03312016x10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341016000056/cvx-03312016x10qdoc.htm
0000093410-16-000049,2016-02-25,2015-12-31,2016-02-25T12:08:14.000Z,34,10-K,001-00368,161454688,,26171984,1,0,cvx-123115x10kdoc.htm,10-K,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341016000049/cvx-123115x10kdoc.htm
0000093410-15-000038,2015-11-06,2015-09-30,2015-11-06T12:28:57.000Z,34,10-Q,001-00368,151203472,,7603448,1,0,cvx-09302015x10qdoc.htm,10-Q,CVX,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/93410/000009341015000038/cvx-09302015x10qdoc.htm
